family,genus,species_binomial,n_occurrence_rows,n_compounds,n_references,representative_allowed,representative_exclusion_reason,representative_source,tree_species,representative_taxonomy_status,Order,Node.1,Node.2,Node.3,Node.4,apg_match,nodes_text,FinalClade,is_vascular,clade_assignment_source,AnalysisClade
Urticaceae,Cecropia,Cecropia glaziovii,8,5,2,TRUE,,observed_binomial_species,Cecropia_glaziovii,compatible,Rosales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Velloziaceae,Vellozia,Vellozia nanuzae,5,5,1,TRUE,,observed_binomial_species,Vellozia_nanuzae,compatible,Pandanales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Verbenaceae,Lippia,Lippia origanoides,18,14,6,TRUE,,observed_binomial_species,Lippia_origanoides,compatible,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Viburnaceae,Viburnum,Viburnum lantanoides,7,7,1,TRUE,,observed_binomial_species,Viburnum_lantanoides,compatible,,,,,,FALSE,,Asterids (Campanulids),TRUE,manual_family_override,Asterids (Campanulids)
Violaceae,Viola,Viola hondoensis,13,13,4,TRUE,,observed_binomial_species,Viola_hondoensis,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Vitaceae,Vitis,Vitis vinifera,273,63,68,TRUE,,observed_binomial_species,Vitis_vinifera,compatible,Vitales,Eudicots,Superrosids,Rosids,,TRUE,Eudicots | Superrosids | Rosids,Rosids (Basal),TRUE,manual_family_override,Rosids (Basal)
Vochysiaceae,Qualea,Qualea labouriauana,26,26,1,TRUE,,observed_binomial_species,Qualea_labouriauana,compatible,Myrtales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Winteraceae,Drimys,Drimys winteri,3,3,1,TRUE,,observed_binomial_species,Drimys_winteri,compatible,Canellales,Magnoliids,,,,TRUE,Magnoliids,Magnoliids,TRUE,APG_reference,Magnoliids
Woodsiaceae,Woodsia,Woodsia scopulina,8,8,1,TRUE,,observed_binomial_species,Woodsia_scopulina,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,APG_reference,Ferns
Zingiberaceae,Alpinia,Alpinia roxburghii,90,61,13,TRUE,,observed_binomial_species,Alpinia_roxburghii,compatible,Zingiberales,Monocots,Commelinids,,,TRUE,Monocots | Commelinids,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Zygophyllaceae,Larrea,Larrea tridentata,9,7,3,TRUE,,observed_binomial_species,Larrea_tridentata,compatible,Zygophyllales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
