Family,Order,Node.1,Node.2,Node.3,Node.4
Cyatheaceae,Cyatheales,,,,
Dicksoniaceae,Cyatheales,,,,
Metaxyaceae,Cyatheales,,,,
Pteridaceae,Polypodiales,,,,
Aspleniaceae,Polypodiales,,,,
Woodsiaceae,Polypodiales,,,,
Thelypteridaceae,Polypodiales,,,,
Blechnaceae,Polypodiales,,,,
Onocleaceae,Polypodiales,,,,
Dryopteridaceae,Polypodiales,,,,
Lomariopsidaceae,Polypodiales,,,,
Tectariaceae,Polypodiales,,,,
Davalliaceae,Polypodiales,,,,
Oleandraceae,Polypodiales,,,,
Polypodiaceae,Polypodiales,,,,
Athyriaceae,Polypodiales,,,,
Cystodiaceae,Polypodiales,,,,
Cystopteridaceae,Polypodiales,,,,
Dennstaedtiaceae,Polypodiales,,,,
Diplaziopsidaceae,Polypodiales,,,,
Hypodematiaceae,Polypodiales,,,,
Lindsaeaceae,Polypodiales,,,,
Lonchitidaceae,Polypodiales,,,,
Nephrolepidaceae,Polypodiales,,,,
Rhachidosoraceae,Polypodiales,,,,
Saccolomataceae,Polypodiales,,,,
